index_P,lesk_list
509,",'suppose.v.01', 'tax.v.04', 'use.v.01', 'spanish.n.02', 'sale.n.05', 'european_union.n.01', 'not.r.01', 'european_union.n.01', 'state.n.04', 'alike.r.02', 'longer.n.01', 'want.v.02', 'export.v.02', 'spanish.n.02', 'port.v.08', 'south.r.01', 'valencia.n.02',,'tax.v.04', 'precede.v.05', 'last.v.01', 'september.n.01', 'time.v.05', 'subsidy.n.01', 'eight-spot.n.01', 'metric_ton.n.01', 'lend.v.01', 'export.v.02', 'gamboge.n.02', 'spain.n.01', 'european_union.n.01', 'penis.n.01', 'state.n.04',,'source.n.07', 'lend.v.01', 'spain.n.01', 'receive.v.10', 'solution.n.02', 'committee.n.02', 'request.n.01', 'tender.v.04', 'unfold.v.04', 'sale.n.05', 'third_gear.n.01', 'state.n.04', 'metric_ton.n.01', 'gamboge.n.02',,,,"
510,",,'exporter.n.01', 'reputation.n.03', 'metric_ton.n.01', 'corn_whiskey.n.01', 'sold.a.01', 'soviet_union.n.01',"
511,",,'exporter.n.01', 'reputation.n.03', 'metric_ton.n.01', 'corn_whiskey.n.01', 'trade.v.04', 'unknown.s.03', 'soviet_union.n.01',"
512,",,'exporter.n.01', 'reputation.n.03', 'metric_ton.n.01', 'corn_whiskey.n.01', 'sold.a.01', 'taiwan.n.02',"
513,"'department_of_agriculture.n.01', 'reputation.n.03', 'corn_whiskey.n.01', 'sold.a.01', 'soviet_union.n.01', 'taiwan.n.01', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'suppose.v.01', 'secret.s.05', 'uranium.n.01', 'exporter.n.01', 'reported.a.01', 'newfangled.s.01', 'sale.n.05', 'metric_ton.n.01', 'corn_whiskey.n.01', 'soviet.n.01', 'union.n.11', 'metric_ton.n.01', 'corn_whiskey.n.01', 'switch_over.v.01', 'previously.r.01', 'announced.s.01', 'unknown.n.03', 'finish.n.04', 'soviet_union.n.01',,,'marketing.n.03', 'year.n.03', 'corn_whiskey.n.01', 'begin.v.10', 'september.n.01','sale.n.05', 'corn_whiskey.n.01', 'soviet_union.n.01', 'pitch.n.02', 'fourth.n.01', 'year.n.03', 'agreement.n.06', 'goal.n.01', 'september.n.01', 'sum.n.02', 'metric_ton.n.01',,"
514,",,,'pale_yellow.n.01', 'companion.n.01', 'suppose.v.01', 'letter.n.05', 'uranium.n.01', 'agribusiness.n.01', 'secretary.n.04', 'uranium.n.01', 'trade.v.03', 'representative.n.01','future.n.03', 'discussion.n.02', 'international.n.01', 'pale_yellow.n.01', 'trade.v.03', 'include.v.03', 'trey.n.02', 'subject.n.01', 'commitment.n.05', 'denationalization.n.01', 'government.n.03', 'tend.v.01', 'export.v.02', 'trade.v.03', 'entity.n.01', 'commitment.n.05', 'public.s.02', 'disclosure.n.01', 'sale.n.05', 'terminus.n.03', 'government.n.03', 'entity.n.01', 'involve.v.05', 'recognition.n.08', 'supply.v.01', 'reduction.n.03', 'uranium.n.01', 'retain.v.02', 'world.n.06', 'price.n.05', 'high.s.07', 'otherwise.s.01', 'two.n.01', 'organization.n.04', 'suppose.v.01', 'australian.n.01', 'proposal.n.03', 'welcome.n.02', 'two.n.01', 'organization.n.04', 'suppose.v.01', 'sum.n.02', 'agreement.n.06', 'judgment.n.02',,,,,,"
515,",,,,'might.n.01', 'hail.v.02', 'privilege.v.01', 'sound.v.02', 'president.n.05', 'voice.n.10', 'protest.n.02','official.s.05', 'statement.n.07', 'clarifying.s.01', 'remark.n.01', 'yesterday.r.02', 'leadership.n.02', 'national.n.01', 'association.n.08', 'pale_yellow.n.01', 'agriculturist.n.01', 'state.n.06', 'department.n.03', 'suppose.v.01', 'secretary.n.04', 'press_out.v.03', 'impression.n.01', 'potential.a.01', 'uranium.n.01', 'texture.n.05', 'competitive.s.03', 'world.n.06', 'marketplace.n.02', 'include.v.03', 'soviet.n.01', 'union.n.11','agribusiness.n.01', 'department.n.03', 'well.r.11', 'status.n.01', 'determine.v.01', 'retainer.n.01', 'given.s.01', 'time.v.05', 'unfold.v.03', 'soviet.n.01', 'subsidy.n.01', 'export.v.02', 'enhancement.n.01', 'program.v.02',,'government.n.03', 'agree.v.02', 'subsidy.n.01', 'offer.v.07', 'offer.v.07', 'firm.s.05', 'commitment.n.05', 'soviet.n.01', 'buy.v.01',,'soviet.n.01', 'rule_out.v.03', 'uranium.n.01', 'offer.v.07', 'yard.n.02', 'metric_ton.n.01', 'subsidy.n.01', 'insufficient.a.01', 'lend.v.01', 'uranium.n.01', 'price.n.05', 'competitive.s.03', 'level.n.05',,,,'government.n.03', 'commodity.n.01', 'source.n.07', 'besides.r.02', 'suppose.v.01', 'element.n.07', 'department_of_agriculture.n.01', 'notably.r.01', 'undersecretary.n.01', 'daniel.n.02', 'stay.v.04', 'react.v.02', 'pale_yellow.n.01', 'subsidy.n.01', 'soviet.n.01',,,"
516,",,'sebaceous_cyst.n.01', 'wei.n.01', 'polonium.n.01', 'daily.r.01', 'conclusion.n.08', 'beijing.n.01', 'yoke.v.02', 'suppose.v.01', 'drought.n.02', 'regretful.a.01', 'year.n.03', 'state.n.01', 'adequate.a.01', 'rain.n.01', 'seven-spot.n.01', 'month.n.02','rice.v.01', 'planting.n.02', 'threaten.v.03', 'eight-spot.n.01', 'state.n.01', 'lend.v.01',,'dry.s.14', 'weather.v.04', 'switch_off.v.01', 'store.v.02', 'water.n.01', 'volume.n.06', 'percentage.n.01', 'compare.v.04', 'last.v.01', 'master_of_architecture.n.01', 'lower.v.01', 'water.n.01', 'level.n.05', 'many.a.01', 'river.n.01', 'lend.v.01','result.v.03', 'reduce.v.15', 'electric.s.02', 'world_power.n.01', 'induce.v.02', 'deficit.n.01', 'industry.n.01', 'family.n.01',,,'people.n.03', 'daily.r.01', 'suppose.v.01', 'szechwan.n.01', 'recorded.s.02', 'temperature.n.01', 'trey.n.02', 'degree.n.07', 'celsius.n.01', 'high.s.07', 'modal.s.01', 'early.a.05', 'february.n.01','newfangled.s.01', 'taiwan.n.01', 'news_program.n.01', 'means.n.01', 'suppose.v.01', 'modal.s.01', 'december.n.01', 'temperature.n.01', 'northeast.n.04', 'six.s.01', 'degree.n.07', 'high.s.07', 'last.v.01', 'december.n.01', 'degree.n.07', 'high.s.07', 'december.n.01',,'many.a.01', 'farmer.n.01', 'government.n.03', 'official.n.02', 'fear.v.01', 'stage.v.01', 'moo.v.01', 'rain.n.01', 'so_far.r.03', 'put.v.01', 'major.n.04', 'threat.n.03', 'view.n.02', 'dry.s.14', 'fall.n.01', 'winter.v.01', 'season.n.03', 'pale_yellow.n.01', 'crop.v.05', 'early.a.05', 'stagecoach.n.01', 'surely.r.01', 'lend.v.01',,,'weather.v.04', 'iraqi_national_congress.n.01', 'speciate.v.01', 'provide.v.06', 'data.n.01', 'agribusiness.n.01', 'ship.v.05', 'sake.n.01', 'suppose.v.01', 'elevation.n.03', 'event.n.03', 'unique.s.02',,,,,'one.s.06', 'effect.n.06', 'heating_system.n.01', 'switch_over.v.01', 'parry.v.01', 'rain.v.01', 'hold.v.14', 'swarm.n.02', 'off.r.02', 'australia.n.01', 'indonesia.n.01', 'pacific.s.02', 'interrupt.v.01', 'weather.v.04', 'radiation_pattern.n.01',,,'whitethorn.n.01', 'september.n.01', 'rain.v.01', 'normally.r.01', 'provide.v.06', 'drought.n.02', 'sphere.n.01', 'percentage.n.01', 'annual.n.02', 'rain.n.01',,,'year.n.03', 'secondary_coil.n.01', 'rain.v.01', 'normally.r.01', 'occur.v.03', 'april.n.01', 'june.n.01', 'potential.a.01', 'stagecoach.n.01', 'prognosis.n.01', 'arrive.v.02', 'usual.a.01',,"
517,"'india.n.01', 'detail.v.02', 'rain.v.01', 'flood_tide.n.02', 'wrong.n.02', 'texture.n.05', 'rain.v.01', 'flood_tide.n.02', 'india.n.01', 'last.v.01', 'year.n.03', 'discredited.s.01', 'metric_ton.n.01', 'texture.n.05', 'intend.v.01', 'human.a.02', 'pulmonary_tuberculosis.n.01', 'storehouse.n.01', 'transportation_system.n.01', 'food.n.02', 'civil.s.06', 'supply.v.01', 'minister.v.02', ""planck's_constant.n.01"", 'thousand.s.01', 'liter.n.01', 'tell.v.03', 'parliament.n.01','give.v.43', 'relative.a.01', 'trope.n.01', 'suppose.v.01', 'government.n.03', 'owned.a.01', 'food.n.02', 'pot.n.07', 'india.n.01', 'so_far.r.03', 'decide.v.01', 'texture.n.05', 'use.v.01', 'cattle.n.01', 'tip.v.03','suppose.v.01', 'sum.n.02', 'metric_ton.n.01', 'food.n.02', 'texture.n.05', 'warehouse.v.01', 'goal.n.01','ask.v.07', 'state.n.06', 'government.n.03', 'human_body.n.01', 'warehouse.v.01', 'keep_off.v.01', 'wrong.n.02', 'texture.n.05',,"
518,",'offer.v.07', 'pale_yellow.n.01', 'rule_out.v.03','however.r.01', 'sum.n.02', 'go_steady.v.01', 'metric_ton.n.01', 'still.r.04', 'well.r.07', 'license.n.01', 'year.n.03', 'ago.s.01',,'facility.n.05', 'gamboge.n.02', 'previous.s.03', 'weekly.n.01', 'texture.n.05', 'export.v.02', 'series.n.07',,"
519,",'texture.n.05', 'analyst.n.03', 'visit.v.01', 'lower.v.01', 'corn_whiskey.n.01', 'soy.n.04', 'planting.n.02', 'texture.n.05', 'analyst.n.03', 'survey.v.06', 'american.n.03', 'soy.n.04', 'association.n.08', 'project.v.06', 'acreage.n.01', 'year.n.03', 'acre.n.03', 'soy.n.04', 'acre.n.03', 'corn_whiskey.n.01','farmer.n.01', 'plant.v.05', 'acre.n.03', 'soy.n.04', 'acre.n.03', 'corn_whiskey.n.01', 'harmonize.v.01', 'february.n.01', 'department_of_agriculture.n.01', 'supply.v.01', 'need.n.01', 'reputation.n.03','department_of_agriculture.n.01', 'turn.v.08', 'planting.n.02', 'intention.n.03', 'reputation.n.03', 'master_of_architecture.n.01',,'estimate.n.05', 'rate.v.01', 'acre.n.03', 'soy.n.04', 'acre.n.03', 'corn_whiskey.n.01',,,"
520,",'current.n.02', 'plan.v.03', 'take.v.27', 'major.n.04', 'alteration.n.02', 'variety.n.06', 'pricing.n.01', 'suppose.v.01', 'curtsy.v.02', 'department_of_agriculture.n.01', 'assistant.n.01', 'deputy.n.04', 'administrator.n.03', 'commodity.n.01', 'operations.n.01','uranium.n.01', 'texture.n.05', 'trader.n.01', 'merchant.n.01', 'suppose.v.01', 'early.a.05', 'workweek.n.01', 'department_of_agriculture.n.01', 'might.n.01', 'act.v.10', 'soon.r.01', 'reduce.v.15', 'cash.v.01', 'corn_whiskey.n.01', 'price.n.05', 'premium.n.04', 'gulf.n.03', 'interior.s.05', 'price.n.05', 'level.n.05', 'sink.v.01', 'station.v.01', 'price.n.05', 'promote.v.01', 'interior.s.05', 'wheel.v.03', 'movement.n.10','traverse.v.03', 'department_of_agriculture.n.01', 'planning.n.01', 'variety.n.06',,'however.r.01', 'rule.v.06', 'implement.v.01', 'minor.a.04', 'variety.n.06', 'pricing.n.01', 'system.n.08',,,'notice.v.04', 'concern.n.04', 'voiced.a.01', 'department_of_agriculture.n.01', 'price.n.05', 'differential_gear.n.01', 'newfangled.s.01', 'orleans.n.02', 'gulf.n.03', 'interior.s.05', 'marketplace.n.02', 'accurate.a.01', 'high.s.07', 'normal.s.04', 'barge.v.02', 'cargo.n.01', 'rates.n.01','suppose.v.01', 'commodity.n.01', 'operations.n.01', 'deputy.n.04', 'administrator.n.03', 'presently.r.02', 'midwest.n.01', 'speak.v.05', 'tour.v.01', 'meet.v.11', 'kansas.n.03', 'city.n.03', 'next.r.01', 'workweek.n.01','suppose.v.01', 'phone_number.n.01', 'offspring.n.01', 'hash_out.v.01', 'meeting.n.03', 'include.v.03', 'current.n.02', 'concern.n.04', 'gulf.n.03', 'corn_whiskey.n.01', 'premium.n.04','defend.v.06', 'department_of_agriculture.n.01', 'differential_gear.n.01', 'suppose.v.01', 'price.n.05', 'margin.n.05', 'reflect.v.06', 'modal.s.01', 'price.n.05', 'throughout.r.01', 'year.n.03', 'seasonal_worker.n.01', 'gene.n.01', 'normally.r.01', 'lawsuit.n.01', 'price.n.05', 'increase.n.03', 'decrease.n.02','department_of_agriculture.n.01', 'official.s.05', 'besides.r.02', 'suppose.v.01', 'county.n.02', 'use.v.01', 'gulf.n.03', 'price.n.05', 'texture.n.05', 'presently.r.02', 'moved.a.01', 'senior_high_school.n.01', 'barge.v.02', 'cargo.n.01', 'tariff.v.01', 'increased.a.01', 'gulf.n.03', 'price.n.05','ask.v.07', 'department_of_agriculture.n.01', 'hand_brake.n.01', 'storehouse.n.01', 'program.v.02', 'let.v.01', 'texture.n.05', 'store.v.02', 'barge.v.02', 'take.v.39', 'barge.v.02', 'space.n.08', 'accounting.n.04', 'high.s.07', 'cargo.n.01', 'rates.n.01', 'discount.v.02', 'theme.n.03','suppose.v.01', 'department_of_agriculture.n.01', 'texture.n.05', 'left.n.05', 'barge.v.02', 'provision.n.04', 'program.v.02', 'vacate.v.02', 'goal.n.01', 'master_of_architecture.n.01',,"
521,"'concern.n.04', 'elevation.n.03', 'peru.n.01', 'department_of_agriculture.n.01', 'reputation.n.03', 'sharpen.v.08', 'fear.v.01', 'elevation.n.03', 'whitethorn.n.01', 'revert.v.01', 'peru.n.01', 'volume.n.06', 'approach.v.05', 'catastrophe.n.02', 'moved.a.01', 'weather.v.04', 'several.s.01', 'continent.n.02', 'induce.v.02', 'far-flung.s.01', 'wrong.n.02', 'flood_tide.n.02', 'drought.n.02', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'policeman.n.01', 'lima.n.01', 'suppose.v.01', 'field.n.10', 'reputation.n.03',,'however.r.01', 'suppose.v.01', 'official.s.05', 'source.n.07', 'still.r.04', 'believe.v.04', 'year.n.03', 'elevation.n.03', 'weak.s.12', 'centrist.n.01', 'volume.n.06','elevation.n.03', 'phenomenon.n.02', 'involve.v.05', 'transformation.n.01', 'wreathe.v.03', 'water_system.n.02', 'pacific.s.02','department_of_agriculture.n.01', 'reputation.n.03', 'suppose.v.01', 'far.s.04', 'elevation.n.03', 'feel.v.01', 'overall.n.02', 'negative.s.08', 'impact.n.02', 'agricultural.a.01', 'production.n.06','excessive.s.02', 'rain.v.01', 'pima.n.01', 'cotton.v.01', 'sphere.n.01', 'whitethorn.n.01', 'reduce.v.15', 'yield.n.03', 'percentage.n.01', 'due.n.02', 'excessive.s.02', 'increase.n.03', 'early.a.05', 'crop.v.05', 'motorbike.v.01',,,'elevation.n.03', 'pluck.v.04', 'momentum.n.02', 'peru.n.01', 'fishing.n.02', 'industry.n.01', 'receive.v.10', 'reverse.n.03',,,'suppose.v.01', 'still.r.04', 'outside.r.01', 'probability.n.01', 'elevation.n.03', 'intensify.v.04', 'transport.v.02', 'late.a.05', 'master_of_architecture.n.01', 'april.n.01', 'whitethorn.n.01', 'induce.v.02', 'trouble.n.01', 'crop.v.05', 'overture.n.03', 'harvest.v.02',,,"
522,",'texture.n.05', 'analyst.n.03', 'meteorologist.n.01', 'writer.n.01', 'hutton.n.02', 'publication.n.01', 'ball-shaped.s.01', 'crop.v.05', 'news_program.n.01', 'suppose.v.01', 'late.a.05', 'reputation.n.03', 'soviet.n.01', 'whitethorn.n.01', 'significance.n.02', 'texture.n.05', 'possibly.r.02', 'pale_yellow.n.01', 'uranium.n.01', 'due.n.02', 'electric_potential.n.01', 'crop.v.05', 'wrong.n.02',,'still.r.04', 'early.a.05', 'talk.n.03', 'black.s.06', 'loss.n.06','lot.n.02', 'depend.v.01', 'spring.n.04', 'weather.v.04', 'consequence.n.01', 'troubled.a.01', 'winter.v.01', 'texture.n.05', 'crop.v.05', 'besides.r.02', 'spring.n.04', 'planting.n.02','suppose.v.01', 'dry.s.14', 'weather.v.04', 'stipulate.v.01', 'last.v.01', 'spill.n.04', 'probably.r.01', 'prevent.v.02', 'optimum.s.01', 'seeded_player.n.01', 'germination.n.02', 'winter.v.01', 'texture.n.05',,,'however.r.01', 'note.v.04', 'southern.a.01', 'texture.n.05', 'swath.n.02', 'ample.s.03', 'snow.n.02', 'top.n.09', 'well.v.01', 'isolate.v.01', 'majority.n.03', 'crop.v.05', 'sphere.n.01', 'severe.s.06', 'frost.v.02', 'wrong.n.02',,'quote.v.01', 'phone_number.n.01', 'reason.v.01', 'besides.r.02', 'potential.a.01', 'crop.v.05', 'trouble.n.01', 'might.n.01', 'target.v.01', 'extra.s.03', 'soviet.n.01', 'significance.n.02', 'need.n.01','last.v.01', 'spill.n.04', 'dry.s.14', 'weather.v.04', 'whitethorn.n.01', 'limit.v.02', 'livestock.n.01', 'graze.v.02', 'moisture.n.01', 'depleted.s.01', 'pasture.n.01', 'cold.s.12', 'winter.v.01', 'weather.v.04', 'necessitate.v.02', 'supplementary.s.02', 'run.v.06', 'retain.v.02', 'livestock.n.01', 'healthy.s.04','besides.r.02', 'disbelieving.s.01', 'soviet.n.01', 'claim.v.03', 'texture.n.05', 'harvest.v.02', 'metric_ton.n.01', 'suppose.v.01', 'chernobyl.n.01', 'accident.n.02', 'whitethorn.n.01', 'pollute.v.01', 'texture.n.05', 'primitively.r.01', 'thought.n.03', 'take.v.27', 'significance.n.02','however.r.01', 'suppose.v.01', 'uranium.n.01', 'stay.v.04', 'supplier.n.01', 'last.v.01', 'resort.n.01', 'soviet.n.01', 'union.n.11', 'note.v.04', 'soviet.n.01', 'recently.r.01', 'begin.v.10', 'first_gear.n.01', 'uranium.n.01', 'texture.n.05', 'purchase.n.03', 'season.n.03', 'buy.v.01', 'metric_ton.n.01', 'corn_whiskey.n.01','quote.v.01', 'department_of_agriculture.n.01', 'statistics.n.01', 'show.v.12', 'texture.n.05', 'embargo.n.01', 'uranium.n.01', 'major.n.04', 'supplier.n.01', 'texture.n.05', 'soviet_union.n.01', 'year.n.03', 'heavy.n.02', 'soviet.n.01', 'need.n.01','uranium.n.01', 'supply.v.01', 'percentage.n.01', 'record.v.01', 'soviet.n.01', 'texture.n.05', 'significance.n.02', 'metric_ton.n.01','soviet.n.01', 'union.n.11', 'buy.v.01', 'metric_ton.n.01', 'texture.n.05', 'turn.v.19', 'uranium.n.01', 'percentage.n.01', 'sum.n.02',,,"
523,",,'exporter.n.01', 'reputation.n.03', 'metric_ton.n.01', 'corn_whiskey.n.01', 'corn_whiskey.n.01', 'trade.v.04', 'unknown.s.03', 'soviet_union.n.01',"
524,",'department.n.03', 'suppose.v.01', 'semolina.n.01', 'cargo.n.01', 'april.n.01', 'october.n.01', 'bonus.n.02', 'award.v.02', 'metric_ton.n.01',,,,"
525,",'summary.n.01', 'world.n.06', 'agribusiness.n.01', 'reputation.n.03', 'department.n.03', 'suppose.v.01', 'texture.n.05', 'production.n.06', 'substitute.v.02', 'saharan.n.01', 'africa.n.01', 'record.v.01', 'senior_high_school.n.01', 'reach.v.01', 'about.r.07', 'every.s.02', 'state.n.04','however.r.01', 'food.n.02', 'need.v.03', 'central.n.01', 'united_states.n.01', 'rose.s.01', 'worsened.s.02', 'drought.n.02', 'reduce.v.15', 'crop.v.05', 'civil.s.06', 'strife.n.02',,,,,,"
526,"'uranium.n.01', 'sugar.n.01', 'program.v.02', 'switch_off.v.01', 'station.v.01', 'sexual_intercourse.n.01', 'department_of_agriculture.n.01', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'formally.r.02', 'familial.s.02', 'sexual_intercourse.n.01', 'long.r.01', 'expect.v.03', 'proposal.n.03', 'drastically.r.01', 'solidus.n.02', 'sugar.n.01', 'loanword.n.01', 'rate.v.02', 'cover.v.15', 'agriculturist.n.01', 'switch_off.v.01', 'target.v.01', 'income.n.01', 'payment.n.01',,'sugarcane.n.02', 'beet.n.01', 'agriculturist.n.01', 'cover.v.15', 'government.n.03', 'price.n.05', 'support.v.09', 'switch_off.v.01', 'target.v.01', 'income.n.01', 'payment.n.01', 'four-spot.n.01', 'year.n.03',,'presidency.n.01', 'sugar.n.01', 'proposal.n.03', 'expect.v.05', 'precede.v.05', 'theater.n.01', 'representative.n.01', 'next.r.01', 'workweek.n.01', 'rep.n.02', 'whoremaster.n.01', 'porter.n.07', 'roentgen.n.01', 'ill.r.01', 'congressional.a.01', 'source.n.07', 'suppose.v.01', 'program.v.02', 'switch_off.v.01', 'drastic.s.01', 'improbable.s.02', 'assume.v.03', 'either.r.01', 'theater.n.01', 'united_states_senate.n.01', 'politically.r.02', 'influential.a.01', 'sugar.n.01', 'corn_whiskey.n.01', 'agriculturist.n.01', 'senior_high_school.n.01', 'fructose.n.01', 'corn_whiskey.n.01', 'syrup.n.01', 'producer.n.02', 'strongly.r.01', 'defy.v.02',,'besides.r.02', 'eject.v.01', 'payment.n.01', 'output.v.01', 'surpass.v.02', 'shortstop.n.02', 'tons.n.01', 'sensitive.s.04', 'sugar.n.01', 'agriculturist.n.01','model.n.07', 'first_gear.n.01', 'tons.n.01', 'production.n.06', 'agriculturist.n.01', 'receive.v.10', 'connecticut.n.01', 'pound.n.01', 'fiscal.a.01', 'connecticut.n.01', 'connecticut.n.01', 'connecticut.n.01',,'suppose.v.01', 'presidency.n.01', 'propose.v.01', 'drastic.s.01', 'variety.n.06', 'sugar.n.01', 'program.v.02', 'current.n.02', 'senior_high_school.n.01', 'price.n.05', 'support.v.09', 'induce.v.02', 'adverse.s.02', 'vogue.n.01', 'sugar.n.01', 'industry.n.01','suppose.v.01', 'current.n.02', 'program.v.02', 'artificially.r.01', 'stimulate.v.01', 'domestic.s.05', 'sugar.n.01', 'corn_whiskey.n.01', 'sweetening.n.01', 'production.n.06', 'let.v.01', 'corn_whiskey.n.01', 'sweetening.n.01', 'take.v.27', 'marketplace.n.02', 'inroad.n.02',,'detriment.n.01', 'cane.v.01', 'sugar.n.01', 'refiner.n.01', 'trust.v.01', 'imported.s.01', 'sugar.n.01', 'work.v.05','furthermore.r.01', 'department_of_agriculture.n.01', 'suppose.v.01', 'current.n.02', 'sugar.n.01', 'program.v.02', 'give.v.43', 'overseas.r.02', 'manufacturer.n.01', 'sugar.n.01', 'incorporate.v.02', 'product.n.05', 'competitive.s.03', 'advantage.n.01','solution.n.02', 'high.s.07', 'significance.n.02', 'sugar.n.01', 'incorporate.v.02', 'product.n.05', 'flight.v.02', 'uranium.n.01', 'work.v.05', 'facility.n.05', 'overseas.r.02', 'take.v.39', 'advantage.n.01', 'cheap.s.04', 'sugar.n.01','department_of_agriculture.n.01', 'besides.r.02', 'suppose.v.01', 'current.n.02', 'program.v.02', 'enforce.v.02', 'heavy.n.02', 'price.n.03', 'uranium.n.01', 'consumer.n.01', 'industrial.s.04', 'user.n.01','fiscal.a.01', 'department_of_agriculture.n.01', 'suppose.v.01', 'consumer.n.01', 'pay_up.v.01', 'closely.r.03', 'two.n.01', 'billion.n.03', 'necessity.n.02', 'sugar.n.01',,'take_after.v.02', 'table.n.05', 'tilt.n.04', 'rate.v.02', 'payment.n.01', 'connecticut.n.01', 'pound.n.01', 'agriculturist.n.01', 'quantity.n.03', 'shroud.v.01', 'shortstop.n.02', 'tons.n.01', 'recoverable.a.01', 'sensitive.s.04', 'sugar.n.01', 'presidency.n.01', 'proposal.n.03', 'cover.v.15', 'sugar.n.01', 'agriculturist.n.01', 'target.v.01', 'payment.n.01','quantity.n.03', 'inaugural.s.02', 'tons.n.01', 'tons.n.01', 'nothing.n.01', 'nothing.n.01', 'nothing.n.01', 'nothing.n.01',"
527,",,'season.n.03', 'tend.v.01', 'april.n.01', 'december.n.01', 'seaway.n.01', 'move.v.16', 'system_of_measurement.n.01', 'tons.n.01', 'cargo.n.01', 'montreal.n.01', 'lake.n.02', 'ontario.n.02', 'tons.n.01', 'duct.n.01', 'yoke.v.02', 'lake.n.02', 'erie.n.03', 'lake.n.02', 'ontario.n.02','comparison.n.03', 'tons.n.01', 'cargo.n.01', 'traveled.a.01', 'montreal.n.01', 'lake.n.02', 'ontario.n.02', 'section.n.07', 'eight-spot.n.01', 'lock_in.v.02', 'duct.n.01','waterway.n.01', 'expect.v.05', 'suffer.v.11', 'canadian.n.02', 'year.n.03', 'estimate.v.01', 'deficit.n.04', 'fiscal.a.01', 'ending.n.01', 'master_of_architecture.n.01', 'suppose.v.01', 'blair.n.01', 'executive.n.01', 'penis.n.01', 'canada.n.01', 'lawrence.n.07', 'seaway.n.01', 'authority.n.07','seaway.n.01', 'move.v.16', 'one.s.06', 'one-half.n.01', 'canada.n.01', 'export.v.02', 'texture.n.05','export.v.02', 'single.v.01', 'important.s.05', 'commodity.n.01', 'transport.v.02', 'waterway.n.01', 'press_down.v.01', 'world.n.06', 'excess.n.01','mariner.n.01', 'international.n.01', 'union.n.11', 'typify.v.02', 'worker.n.03', 'great.n.01', 'lake.n.02', 'ocean.n.01', 'slide.n.05', 'suppose.v.01', 'likely.a.01', 'sound.v.02', 'strike.v.14', 'spring.n.04', 'protest.n.03', 'employer.n.01', 'need.n.01', 'wage.n.01', 'rollback.n.02', 'concession.n.03',,,'seaway.n.01', 'authority.n.07', 'suppose.v.01', 'walkout.n.02', 'tie.v.09', 'ship.v.05', 'great.n.01', 'lake.n.02', 'ill.r.01', 'detriment.n.01', 'traffic.v.02',,'fleshy.s.01', 'contract.v.01', 'talk.n.03', 'history.n.05', 'lawrence.n.07', 'seaway.n.01', 'george.n.01', 'miller.n.05', 'vice.n.02', 'president.n.05', 'canadian.n.02', 'lake.n.02', 'mailman.n.01', 'association.n.08', 'association.n.08', 'major.n.04', 'canadian.n.02', 'ship.v.05', ""ship's_company.n.01"", 'suppose.v.01', 'recently.r.01','worker.n.03', 'current.n.02', 'contract.v.01', 'run_out.v.04', 'whitethorn.n.01','association.n.08', 'suppose.v.01', 'ask.v.07', 'five-spot.n.03', 'penny.n.02', 'switch_off.v.01', 'wages.n.01', 'next.r.01', 'trey.n.02', 'year.n.03', 'reduce.v.15', 'crew.v.01', 'level.n.05', 'world_power.n.01', 'restructure.v.01', 'crew.v.01', 'dispatch.v.01','association.n.08', 'suppose.v.01', 'penis.n.01', 'recorded.s.02', 'uranium.n.01', 'loss.n.06', 'due.n.02', 'lower.v.01', 'traffic.v.02', 'cargo.n.01', 'rates.n.01', 'increasing.a.02', 'contest.n.01','seaway.n.01', 'suppose.v.01', 'regretful.a.01', 'year.n.03', 'two.n.01', 'decade.n.01','suppose.v.01', 'seaway.n.01', 'authority.n.07', 'plan.v.03', 'raise.v.24', 'toll.v.02', 'duct.n.01', 'eight-spot.n.01', 'percentage.n.01', 'year.n.03', 'compare.v.04', 'last.v.01', 'year.n.03', 'percentage.n.01', 'upgrade.n.04', 'keep.v.01', 'freeze.v.07', 'toll.v.02', 'throughout.r.01', 'stay.v.01', 'waterway.n.01','canada.n.01', 'responsible.s.02', 'seaway.n.01', 'lock_in.v.02', 'percentage.n.01', 'tax_income.n.01', 'sustenance.n.03', 'price.n.03',,,,"
528,",'council.n.03', 'official.s.05', 'worsen.v.01', 'name.v.03', 'tell.v.03', 'significance.n.02', 'include.v.03', 'seven-spot.n.01', 'metric_ton.n.01', 'oilseed.n.01', 'texture.n.05', 'dairy.n.01', 'product.n.05', 'worth.s.02', 'four-spot.n.01', 'billion.n.03', 'uranium.n.01', 'billion.n.03', 'billion.n.03',,'government.n.03', 'trope.n.01', 'besides.r.02', 'show.v.12', 'taiwan.n.01', 'excess.n.01', 'europe.n.01', 'rose.s.01', 'billion.n.03', 'last.v.01', 'year.n.03','taiwan.n.01', 'significance.n.02', 'uranium.n.01', 'farm.v.01', 'produce.v.02', 'last.v.01', 'year.n.03', 'total.v.01', 'billion.n.03', 'billion.n.03',,,,"
